Designator,Mid X,Mid Y,Rotation,Layer
D1,59.53125,-40.48125,0.0,bottom
D10,230.98125,-40.48125,0.0,bottom
D11,250.03125,-40.48125,0.0,bottom
D12,269.08125,-40.48125,0.0,bottom
D13,288.13125,-40.48125,0.0,bottom
D14,64.29375,-59.53125,0.0,bottom
D15,88.10625,-59.53125,0.0,bottom
D16,107.15625,-59.53125,0.0,bottom
D17,126.20625,-59.53125,0.0,bottom
D18,145.25625,-59.53125,0.0,bottom
D19,164.30625,-59.53125,0.0,bottom
D2,78.58125,-40.48125,0.0,bottom
D20,183.35625,-59.53125,0.0,bottom
D21,202.40625,-59.53125,0.0,bottom
D22,221.45625,-59.53125,0.0,bottom
D23,240.50625,-59.53125,0.0,bottom
D24,259.55625,-59.53125,0.0,bottom
D25,283.36875,-59.53125,0.0,bottom
D26,311.94375,-59.53125,0.0,bottom
D27,330.99375,-59.53125,0.0,bottom
D28,66.675,-78.58125,0.0,bottom
D29,92.86875,-78.58125,0.0,bottom
D3,97.63125,-40.48125,0.0,bottom
D30,111.91875,-78.58125,0.0,bottom
D31,130.96875,-78.58125,0.0,bottom
D32,150.01875,-78.58125,0.0,bottom
D33,169.06875,-78.58125,0.0,bottom
D34,188.11875,-78.58125,0.0,bottom
D35,207.16875,-78.58125,0.0,bottom
D36,226.21875,-78.58125,0.0,bottom
D37,245.26875,-78.58125,0.0,bottom
D38,276.225,-78.58125,0.0,bottom
D39,311.94375,-78.58125,0.0,bottom
D4,116.68125,-40.48125,0.0,bottom
D40,330.99375,-78.58125,0.0,bottom
D41,69.05625,-97.63125,0.0,bottom
D42,97.63125,-97.63125,0.0,bottom
D43,116.68125,-97.63125,0.0,bottom
D44,135.73125,-97.63125,0.0,bottom
D45,154.78125,-97.63125,0.0,bottom
D46,173.83125,-97.63125,0.0,bottom
D47,192.88125,-97.63125,0.0,bottom
D48,211.93125,-97.63125,0.0,bottom
D49,230.98125,-97.63125,0.0,bottom
D5,135.73125,-40.48125,0.0,bottom
D50,250.03125,-97.63125,0.0,bottom
D51,269.08125,-97.63125,0.0,bottom
D52,288.13125,-97.63125,0.0,bottom
D53,311.94375,-102.39375,0.0,bottom
D54,64.29375,-116.68125,0.0,bottom
D55,90.4875,-116.68125,0.0,bottom
D56,114.3,-116.68125,0.0,bottom
D57,138.1125,-116.68125,0.0,bottom
D58,178.59375,-116.68125,0.0,bottom
D59,219.075,-116.68125,0.0,bottom
D6,154.78125,-40.48125,0.0,bottom
D60,242.8875,-116.68125,0.0,bottom
D61,266.7,-116.68125,0.0,bottom
D62,292.89375,-121.44375,0.0,bottom
D63,311.94375,-121.44375,0.0,bottom
D64,330.99375,-121.44375,0.0,bottom
D7,173.83125,-40.48125,0.0,bottom
D8,192.88125,-40.48125,0.0,bottom
D9,211.93125,-40.48125,0.0,bottom
SW1,59.53125,-35.71875,0.0,top
SW10,230.98125,-35.71875,0.0,top
SW11,250.03125,-35.71875,0.0,top
SW12,269.08125,-35.71875,0.0,top
SW13,288.13125,-35.71875,0.0,top
SW14,64.29375,-54.76875,0.0,top
SW15,88.10625,-54.76875,0.0,top
SW16,107.15625,-54.76875,0.0,top
SW17,126.20625,-54.76875,0.0,top
SW18,145.25625,-54.76875,0.0,top
SW19,164.30625,-54.76875,0.0,top
SW2,78.58125,-35.71875,0.0,top
SW20,183.35625,-54.76875,0.0,top
SW21,202.40625,-54.76875,0.0,top
SW22,221.45625,-54.76875,0.0,top
SW23,240.50625,-54.76875,0.0,top
SW24,259.55625,-54.76875,0.0,top
SW25,283.36875,-54.76875,0.0,top
SW26,311.94375,-54.76875,0.0,top
SW27,330.99375,-54.76875,0.0,top
SW28,66.675,-73.81875,0.0,top
SW29,92.86875,-73.81875,0.0,top
SW3,97.63125,-35.71875,0.0,top
SW30,111.91875,-73.81875,0.0,top
SW31,130.96875,-73.81875,0.0,top
SW32,150.01875,-73.81875,0.0,top
SW33,169.06875,-73.81875,0.0,top
SW34,188.11875,-73.81875,0.0,top
SW35,207.16875,-73.81875,0.0,top
SW36,226.21875,-73.81875,0.0,top
SW37,245.26875,-73.81875,0.0,top
SW38,276.225,-73.81875,0.0,top
SW39,311.94375,-73.81875,0.0,top
SW4,116.68125,-35.71875,0.0,top
SW40,330.99375,-73.81875,0.0,top
SW41,69.05625,-92.86875,0.0,top
SW42,97.63125,-92.86875,0.0,top
SW43,116.68125,-92.86875,0.0,top
SW44,135.73125,-92.86875,0.0,top
SW45,154.78125,-92.86875,0.0,top
SW46,173.83125,-92.86875,0.0,top
SW47,192.88125,-92.86875,0.0,top
SW48,211.93125,-92.86875,0.0,top
SW49,230.98125,-92.86875,0.0,top
SW5,135.73125,-35.71875,0.0,top
SW50,250.03125,-92.86875,0.0,top
SW51,269.08125,-92.86875,0.0,top
SW52,288.13125,-92.86875,0.0,top
SW53,311.94375,-97.63125,0.0,top
SW54,64.29375,-111.91875,0.0,top
SW55,90.4875,-111.91875,0.0,top
SW56,114.3,-111.91875,0.0,top
SW57,138.1125,-111.91875,0.0,top
SW58,178.59375,-111.91875,0.0,top
SW59,219.075,-111.91875,0.0,top
SW6,154.78125,-35.71875,0.0,top
SW60,242.8875,-111.91875,0.0,top
SW61,266.7,-111.91875,0.0,top
SW62,292.89375,-116.68125,0.0,top
SW63,311.94375,-116.68125,0.0,top
SW64,330.99375,-116.68125,0.0,top
SW7,173.83125,-35.71875,0.0,top
SW8,192.88125,-35.71875,0.0,top
SW9,211.93125,-35.71875,0.0,top
