Designator,Mid X,Mid Y,Rotation,Layer
SW1,45.463052,-35.54375,0.0,top
SW10,216.913052,-35.54375,0.0,top
SW11,235.963052,-35.54375,0.0,top
SW12,255.013052,-35.54375,0.0,top
SW13,274.063052,-35.54375,0.0,top
SW14,50.225552,-54.59375,0.0,top
SW15,74.038052,-54.59375,0.0,top
SW16,93.088052,-54.59375,0.0,top
SW17,112.138052,-54.59375,0.0,top
SW18,131.188052,-54.59375,0.0,top
SW19,150.238052,-54.59375,0.0,top
SW2,64.513052,-35.54375,0.0,top
SW20,169.288052,-54.59375,0.0,top
SW21,188.338052,-54.59375,0.0,top
SW22,207.388052,-54.59375,0.0,top
SW23,226.438052,-54.59375,0.0,top
SW24,245.488052,-54.59375,0.0,top
SW25,269.300552,-54.59375,0.0,top
SW26,297.875552,-54.59375,0.0,top
SW27,316.925552,-54.59375,0.0,top
SW28,52.606802,-73.64375,0.0,top
SW29,78.800552,-73.64375,0.0,top
SW3,83.563052,-35.54375,0.0,top
SW30,97.850552,-73.64375,0.0,top
SW31,116.900552,-73.64375,0.0,top
SW32,135.950552,-73.64375,0.0,top
SW33,155.000552,-73.64375,0.0,top
SW34,174.050552,-73.64375,0.0,top
SW35,193.100552,-73.64375,0.0,top
SW36,212.150552,-73.64375,0.0,top
SW37,231.200552,-73.64375,0.0,top
SW38,262.156802,-73.64375,180.0,top
SW39,297.875552,-73.64375,0.0,top
SW4,102.613052,-35.54375,0.0,top
SW40,316.925552,-73.64375,0.0,top
SW41,54.988052,-92.69375,180.0,top
SW42,83.563052,-92.69375,0.0,top
SW43,102.613052,-92.69375,0.0,top
SW44,121.663052,-92.69375,0.0,top
SW45,140.713052,-92.69375,0.0,top
SW46,159.763052,-92.69375,0.0,top
SW47,178.813052,-92.69375,0.0,top
SW48,197.863052,-92.69375,0.0,top
SW49,216.913052,-92.69375,0.0,top
SW5,121.663052,-35.54375,0.0,top
SW50,235.963052,-92.69375,0.0,top
SW51,255.013052,-92.69375,0.0,top
SW52,274.063052,-92.69375,0.0,top
SW53,297.875552,-97.45625,0.0,top
SW54,50.225552,-111.74375,0.0,top
SW55,76.419302,-111.74375,0.0,top
SW56,100.231802,-111.74375,0.0,top
SW57,124.044302,-111.74375,0.0,top
SW58,164.525552,-111.74375,0.0,top
SW59,205.006802,-111.74375,0.0,top
SW6,140.713052,-35.54375,0.0,top
SW60,228.819302,-111.74375,0.0,top
SW61,252.631802,-111.74375,0.0,top
SW62,278.825552,-116.50625,0.0,top
SW63,297.875552,-116.50625,0.0,top
SW64,316.925552,-116.50625,0.0,top
SW7,159.763052,-35.54375,0.0,top
SW8,178.813052,-35.54375,0.0,top
SW9,197.863052,-35.54375,0.0,top
